watch_id,brand,model,reference_number,reference_key,display_name,search_text,year,production_years,movement,case_material,case_size,condition,market_price_usd,market_price_source,market_price_updated_at,auction_price_usd,auction_house,auction_date,auction_lot_url,shop_sources,source_count,source_urls,data_quality,notes,updated_at
a_lange_s_hne_0175277334135,A. Lange & Söhne,,0175277334135,0175277334135,A. Lange & Söhne 0175277334135,A LANGE S HNE 0175277334135 0175277334135 A LANGE S HNE 0175277334135 45 X 15 MM,,,,,45 x 15 mm,,1650,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01752773341350742464eb,A. Lange & Söhne,,0175277334135-0742464EB,01752773341350742464EB,A. Lange & Söhne 0175277334135-0742464EB,A LANGE S HNE 0175277334135 0742464EB 01752773341350742464EB A LANGE S HNE 0175277334135 0742464EB 45 MM,,,,,45 mm,,1057,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0175277604287,A. Lange & Söhne,,0175277604287,0175277604287,A. Lange & Söhne 0175277604287,A LANGE S HNE 0175277604287 0175277604287 A LANGE S HNE 0175277604287 44 MM,,,,,44 mm,,2790,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_01754774140650752063,A. Lange & Söhne,,0175477414065-0752063,01754774140650752063,A. Lange & Söhne 0175477414065-0752063,A LANGE S HNE 0175477414065 0752063 01754774140650752063 A LANGE S HNE 0175477414065 0752063 40 MM,,,,,40 mm,,1851,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0175477794063set,A. Lange & Söhne,,0175477794063-SET,0175477794063SET,A. Lange & Söhne 0175477794063-SET,A LANGE S HNE 0175477794063 SET 0175477794063SET A LANGE S HNE 0175477794063 SET 38 MM,,,,,38 mm,,1987,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0175477794065set,A. Lange & Söhne,,0175477794065-SET,0175477794065SET,A. Lange & Söhne 0175477794065-SET,A LANGE S HNE 0175477794065 SET 0175477794065SET A LANGE S HNE 0175477794065 SET 38 MM,,,,,38 mm,,1938,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0175477794067,A. Lange & Söhne,,0175477794067,0175477794067,A. Lange & Söhne 0175477794067,A LANGE S HNE 0175477794067 0175477794067 A LANGE S HNE 0175477794067 38 MM,,,,,38 mm,,1366,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0175477794067set,A. Lange & Söhne,,0175477794067-SET,0175477794067SET,A. Lange & Söhne 0175477794067-SET,A LANGE S HNE 0175477794067 SET 0175477794067SET A LANGE S HNE 0175477794067 SET 38 MM,,,,,38 mm,,1987,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0175477854084,A. Lange & Söhne,,0175477854084,0175477854084,A. Lange & Söhne 0175477854084,A LANGE S HNE 0175477854084 0175477854084 A LANGE S HNE 0175477854084 40 MM,,,,,40 mm,,2281,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,1,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,low,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
a_lange_s_hne_0175477854084set,A. Lange & Söhne,,0175477854084-SET,0175477854084SET,A. Lange & Söhne 0175477854084-SET,A LANGE S HNE 0175477854084 SET 0175477854084SET A LANGE S HNE 0175477854084 SET 40 MM,,,,,40 mm,,2093,webscrapped_watch_dataset_median,2026-06-03,,,,,Chrono24 dataset,3,https://raw.githubusercontent.com/philmorefkoung/Webscrapped-Watch-Dataset/main/dataset/Sinn-A.Lange.csv,medium,Median price from open historical/active listings dataset; not live appraisal.,2026-06-03
